dateid01,dateid,date,pe_aus,pe_ind,pe_ndo,pe_saf,pe_usa
1954-02-01,1954-02-28 23:59:59.999,1954-02-26,NA,NA,NA,NA,9.9200
1954-03-01,1954-03-31 23:59:59.999,1954-03-31,NA,NA,NA,NA,10.1700
1954-04-01,1954-04-30 23:59:59.999,1954-04-30,NA,NA,NA,NA,10.5700
1954-05-01,1954-05-31 23:59:59.999,1954-05-31,NA,NA,NA,NA,11.0000
1954-06-01,1954-06-30 23:59:59.999,1954-06-30,NA,NA,NA,NA,11.0800
1954-07-01,1954-07-31 23:59:59.999,1954-07-30,NA,NA,NA,NA,12.1740
1954-08-01,1954-08-31 23:59:59.999,1954-08-31,NA,NA,NA,NA,11.7600
1954-09-01,1954-09-30 23:59:59.999,1954-09-30,NA,NA,NA,NA,11.8000
1954-10-01,1954-10-31 23:59:59.999,1954-10-29,NA,NA,NA,NA,12.2300
1954-11-01,1954-11-30 23:59:59.999,1954-11-30,NA,NA,NA,NA,12.6400
1954-12-01,1954-12-31 23:59:59.999,1954-12-31,NA,NA,NA,NA,12.9400
1955-01-01,1955-01-31 23:59:59.999,1955-01-31,NA,NA,NA,NA,13.1700
1955-02-01,1955-02-28 23:59:59.999,1955-02-28,NA,NA,NA,NA,13.6400
1955-03-01,1955-03-31 23:59:59.999,1955-03-31,NA,NA,NA,NA,13.5300
1955-04-01,1955-04-30 23:59:59.999,1955-04-29,NA,NA,NA,NA,13.8400
1955-05-01,1955-05-31 23:59:59.999,1955-05-31,NA,NA,NA,NA,12.5000
1955-06-01,1955-06-30 23:59:59.999,1955-06-30,NA,NA,NA,NA,12.1700
1955-07-01,1955-07-31 23:59:59.999,1955-07-29,NA,NA,NA,NA,12.8223
1955-08-01,1955-08-31 23:59:59.999,1955-08-31,NA,NA,NA,NA,12.6300
1955-09-01,1955-09-30 23:59:59.999,1955-09-30,NA,NA,NA,NA,12.9800
1955-10-01,1955-10-31 23:59:59.999,1955-10-31,NA,NA,NA,NA,12.2800
1955-11-01,1955-11-30 23:59:59.999,1955-11-30,NA,NA,NA,NA,12.8600
1955-12-01,1955-12-31 23:59:59.999,1955-12-30,NA,NA,NA,NA,12.7100
1956-01-01,1956-01-31 23:59:59.999,1956-01-31,NA,NA,NA,NA,12.4500
1956-02-01,1956-02-29 23:59:59.999,1956-02-29,NA,NA,NA,NA,12.4800
1956-03-01,1956-03-31 23:59:59.999,1956-03-30,NA,NA,NA,NA,13.3497
1956-04-01,1956-04-30 23:59:59.999,1956-04-30,NA,NA,NA,NA,13.5100
1956-05-01,1956-05-31 23:59:59.999,1956-05-31,NA,NA,NA,NA,13.0600
1956-06-01,1956-06-30 23:59:59.999,1956-06-29,NA,NA,NA,NA,13.0600
1956-07-01,1956-07-31 23:59:59.999,1956-07-31,NA,NA,NA,NA,13.7300
1956-08-01,1956-08-31 23:59:59.999,1956-08-31,NA,NA,NA,NA,13.6700
1956-09-01,1956-09-30 23:59:59.999,1956-09-28,NA,NA,NA,NA,13.2400
1956-10-01,1956-10-31 23:59:59.999,1956-10-31,NA,NA,NA,NA,13.0700
1956-11-01,1956-11-30 23:59:59.999,1956-11-30,NA,NA,NA,NA,13.0000
1956-12-01,1956-12-31 23:59:59.999,1956-12-31,NA,NA,NA,NA,13.5700
1957-01-01,1957-01-31 23:59:59.999,1957-01-31,NA,NA,NA,NA,13.2900
1957-02-01,1957-02-28 23:59:59.999,1957-02-28,NA,NA,NA,NA,12.6900
1957-03-01,1957-03-31 23:59:59.999,1957-03-29,NA,NA,NA,NA,13.0000
1957-04-01,1957-04-30 23:59:59.999,1957-04-30,NA,NA,NA,NA,13.3100
1957-05-01,1957-05-31 23:59:59.999,1957-05-31,NA,NA,NA,NA,13.8400
1957-06-01,1957-06-30 23:59:59.999,1957-06-28,NA,NA,NA,NA,14.1400
1957-07-01,1957-07-31 23:59:59.999,1957-07-31,NA,NA,NA,NA,14.4600
1957-08-01,1957-08-31 23:59:59.999,1957-08-30,NA,NA,NA,NA,13.7500
1957-09-01,1957-09-30 23:59:59.999,1957-09-30,NA,NA,NA,NA,13.2900
1957-10-01,1957-10-31 23:59:59.999,1957-10-31,NA,NA,NA,NA,12.3900
1957-11-01,1957-11-30 23:59:59.999,1957-11-29,NA,NA,NA,NA,11.8100
1957-12-01,1957-12-31 23:59:59.999,1957-12-31,NA,NA,NA,NA,11.7800
1958-01-01,1958-01-31 23:59:59.999,1958-01-31,NA,NA,NA,NA,12.0700
1958-02-01,1958-02-28 23:59:59.999,1958-02-28,NA,NA,NA,NA,12.2400
1958-03-01,1958-03-31 23:59:59.999,1958-03-31,NA,NA,NA,NA,12.5800
1958-04-01,1958-04-30 23:59:59.999,1958-04-30,NA,NA,NA,NA,12.7400
1958-05-01,1958-05-31 23:59:59.999,1958-05-30,NA,NA,NA,NA,13.7756
1958-06-01,1958-06-30 23:59:59.999,1958-06-30,NA,NA,NA,NA,14.4600
1958-07-01,1958-07-31 23:59:59.999,1958-07-31,NA,NA,NA,NA,14.8400
1958-08-01,1958-08-31 23:59:59.999,1958-08-29,NA,NA,NA,NA,15.9800
1958-09-01,1958-09-30 23:59:59.999,1958-09-30,NA,NA,NA,NA,16.9800
1958-10-01,1958-10-31 23:59:59.999,1958-10-31,NA,NA,NA,NA,17.6300
1958-11-01,1958-11-30 23:59:59.999,1958-11-28,NA,NA,NA,NA,18.3400
1958-12-01,1958-12-31 23:59:59.999,1958-12-31,NA,NA,NA,NA,19.1000
1959-01-01,1959-01-31 23:59:59.999,1959-01-30,NA,NA,NA,NA,19.6500
1959-02-01,1959-02-28 23:59:59.999,1959-02-27,NA,NA,NA,NA,19.4300
1959-03-01,1959-03-31 23:59:59.999,1959-03-31,NA,NA,NA,NA,19.9500
1959-04-01,1959-04-30 23:59:59.999,1959-04-30,NA,NA,NA,NA,20.1000
1959-05-01,1959-05-31 23:59:59.999,1959-05-29,NA,NA,NA,NA,20.0900
1959-06-01,1959-06-30 23:59:59.999,1959-06-30,NA,NA,NA,NA,18.9700
1959-07-01,1959-07-31 23:59:59.999,1959-07-31,NA,NA,NA,NA,19.7200
1959-08-01,1959-08-31 23:59:59.999,1959-08-31,NA,NA,NA,NA,19.0900
1959-09-01,1959-09-30 23:59:59.999,1959-09-30,NA,NA,NA,NA,17.1000
1959-10-01,1959-10-31 23:59:59.999,1959-10-30,NA,NA,NA,NA,17.0400
1959-11-01,1959-11-30 23:59:59.999,1959-11-30,NA,NA,NA,NA,17.1500
1959-12-01,1959-12-31 23:59:59.999,1959-12-31,NA,NA,NA,NA,17.6300
1960-01-01,1960-01-31 23:59:59.999,1960-01-29,NA,NA,NA,NA,17.3200
1960-02-01,1960-02-29 23:59:59.999,1960-02-29,NA,NA,NA,NA,16.6100
1960-03-01,1960-03-31 23:59:59.999,1960-03-31,NA,NA,NA,NA,16.4800
1960-04-01,1960-04-30 23:59:59.999,1960-04-29,NA,NA,NA,NA,16.6700
1960-05-01,1960-05-31 23:59:59.999,1960-05-31,NA,NA,NA,NA,15.9800
1960-06-01,1960-06-30 23:59:59.999,1960-06-30,NA,NA,NA,NA,16.0400
1960-07-01,1960-07-31 23:59:59.999,1960-07-29,NA,NA,NA,NA,15.6500
1960-08-01,1960-08-31 23:59:59.999,1960-08-31,NA,NA,NA,NA,16.4500
1960-09-01,1960-09-30 23:59:59.999,1960-09-30,NA,NA,NA,NA,16.3400
1960-10-01,1960-10-31 23:59:59.999,1960-10-31,NA,NA,NA,NA,16.1100
1960-11-01,1960-11-30 23:59:59.999,1960-11-30,NA,NA,NA,NA,17.2600
