dateid01,dateid,reer_aus,reer_bol,reer_bra,reer_cam,reer_col,reer_gha,reer_kor,reer_mar,reer_mex,reer_mys,reer_pak,reer_phi,reer_png,reer_prc,reer_rsa,reer_sng,reer_uga,reer_usa,reer_zmb
1979-01-01,1979-01-31 23:59:59.999,NA,NA,NA,NA,NA,NA,NA,NA,NA,160.648661261157,NA,116.21,NA,NA,133.18,95.690797423311808,NA,NA,NA
1979-02-01,1979-02-28 23:59:59.999,NA,NA,NA,NA,NA,NA,NA,NA,NA,161.838651344573,NA,116.76,NA,NA,136.19,95.110792589938192,NA,NA,NA
1979-03-01,1979-03-31 23:59:59.999,NA,NA,NA,NA,NA,NA,NA,NA,NA,162.27864767793698,NA,119.34,NA,NA,139.19999999999998,95.030791923266,NA,NA,NA
1979-04-01,1979-04-30 23:59:59.999,NA,NA,NA,NA,NA,NA,NA,NA,NA,162.95864201131702,NA,124.19,NA,NA,140.88,94.690789089909104,NA,NA,NA
1979-05-01,1979-05-31 23:59:59.999,NA,NA,NA,NA,NA,NA,NA,NA,NA,162.918642344648,NA,126.88,NA,NA,141.52000000000002,94.7507895899132,NA,NA,NA
1979-06-01,1979-06-30 23:59:59.999,NA,NA,NA,NA,NA,NA,NA,NA,NA,163.02864142798898,NA,128.44,NA,NA,140.36000000000002,94.990791589929904,NA,NA,NA
1979-07-01,1979-07-31 23:59:59.999,NA,NA,NA,NA,NA,NA,NA,NA,NA,161.718652344564,NA,127.13,NA,NA,139.9,94.970791423261808,NA,NA,NA
1979-08-01,1979-08-31 23:59:59.999,NA,NA,NA,NA,NA,NA,NA,NA,NA,162.18864842793,NA,128.74,NA,NA,141.52000000000002,95.710797589979904,NA,NA,NA
1979-09-01,1979-09-30 23:59:59.999,NA,NA,NA,NA,NA,NA,NA,NA,NA,162.818643177974,NA,130.08,NA,NA,141.94999999999998,97.430811923432704,NA,NA,NA
1979-10-01,1979-10-31 23:59:59.999,NA,NA,NA,NA,NA,NA,NA,NA,NA,162.308647427939,NA,132.23,NA,NA,144.29,97.6108134234452,NA,NA,NA
1979-11-01,1979-11-30 23:59:59.999,NA,NA,NA,NA,NA,NA,NA,NA,NA,162.068649427922,NA,135.49,NA,NA,145.03,98.370819756831296,NA,NA,NA
1979-12-01,1979-12-31 23:59:59.999,90.640755339627808,152.381269843915,71.34,141.47,134.371119759331,560.93,NA,NA,114.34,161.678652677895,NA,133.37,128.39,279.67766935275604,142.97,97.460812173434704,1740.36099398343,104.54,NA
1980-01-01,1980-01-31 23:59:59.999,90.370753089609088,152.911274260619,69.01,139.12,135.771131426095,653.96,NA,147.250000020453,110.55,159.67866934442302,197.463291054851,132.42,132.23,276.527695602538,142.13999999999998,96.930807756731296,1574.3137614373,104.39,213.541102305781
1980-02-01,1980-02-29 23:59:59.999,90.180751506262496,152.111267593897,69.88,137.53,134.33111942599502,651.76,NA,146.140000020299,111.33,159.50867076107702,199.403323388723,133.91,132.16,275.36770526912396,143.74,97.890815756797904,2362.0906318228,105.22,212.001166470842
1980-03-01,1980-03-31 23:59:59.999,91.210760089667408,155.12129267743898,72.63,136.26,135.541129509413,676.77,NA,145.270000020177,110.77,158.958675344373,206.66344439074,137.88,132.64,272.347730435581,149.83000000000002,98.130817756814592,2327.99120014666,109.08,210.541227302655
1980-04-01,1980-04-30 23:59:59.999,91.770764756372896,155.381294844124,73.26,136.98,137.27114392619898,659.44,NA,144.83000002011598,109.26,154.518712344064,208.433473891232,138.74,133.32,272.797726685612,151.12,96.570804756706288,2306.58155697404,110.20,208.571309383937
1980-05-01,1980-05-31 23:59:59.999,91.620763506362496,154.021283510696,72.07,136.47,133.00110834256902,723.98,NA,144.19000002002698,120.29,154.74871042741402,200.433340555676,132.85,133.62,269.52775393538504,149.07,95.090792423270208,2189.40350994149,105.39,210.561226469342
1980-06-01,1980-06-30 23:59:59.999,91.7107642563688,158.771323094359,71.95,137.17,130.951091259094,729.06,NA,143.64000001995,118.07,155.358705344123,197.133285554759,130.26,133.71,267.777768518597,150.94,94.640788673238896,2164.77392043465,103.49,209.871255218624
1980-07-01,1980-07-31 23:59:59.999,92.040767006391696,159.05132542771198,73.05,137.31,130.45108709239198,743.53,NA,143.53000001993602,118.88,155.458704510796,198.823313721895,130.30,134.32,269.03775801868396,153.22,95.100792506604192,2035.14608089864,102.41,204.571476046436
1980-08-01,1980-08-31 23:59:59.999,92.830773589779888,163.821365178043,74.40,135.98,130.55108792573298,762.34,NA,142.77000001983,120.34,156.728693927551,200.673344555743,132.13,135.01,267.85776785193504,154.66,94.770789756581296,2090.69515508074,103.55,204.121494795968
1980-09-01,1980-09-30 23:59:59.999,92.550771256427104,157.39131159426298,73.75,136.64,130.481087342394,780.80,NA,142.690000019819,121.38,156.068699427505,199.743329055484,131.14,135.29,263.72780226831496,157.16999999999998,93.810781756514608,2172.53379110347,102.48,202.131577710561
1980-10-01,1980-10-31 23:59:59.999,92.760773006441696,156.691305760881,77.48,132.37,130.45108709239198,877.85,NA,140.730000019546,119.33,155.58870342747202,200.803346722445,131.69,135.86,260.897825851452,160.13999999999998,94.520787673230608,2232.60278995349,103.01,201.741593960155
1980-11-01,1980-11-30 23:59:59.999,93.420778506487488,158.25131876098998,80.00,132.90,132.20110167584702,1008.77,NA,137.810000019142,119.13,155.508704094133,205.783429723829,133.61,136.60,253.47788768427,164.26,95.1907932566104,2307.94153430775,105.33,195.831840203999
1980-12-01,1980-12-31 23:59:59.999,94.1607846732056,163.301360844674,81.82,129.41,133.591113259277,1018.86,NA,135.78000001886,130.17,153.34872209398302,208.303471724529,133.99,136.91,252.097899184174,168.19999999999998,94.380786506554208,2314.9614173097004,106.20,189.212116030436
1981-01-01,1981-01-31 23:59:59.999,94.650788756572992,180.731506095884,82.02,129.94,133.891115759298,1085.88,NA,132.52000001840698,125.46,151.788735093875,206.713445224087,132.82,137.34,248.177931850569,168.55000000000002,94.220785173209712,2844.41259312344,105.68,185.342277276405
1981-02-01,1981-02-28 23:59:59.999,95.750797923316,187.161559679664,85.70,126.42,137.141142842857,1248.42,NA,131.36000001824602,127.26,152.82872642728,215.063584393073,135.39,138.10,244.437963016976,170.38,96.160801340011104,2882.44195930067,109.47,187.352193528499
1981-03-01,1981-03-31 23:59:59.999,96.3308027566896,185.86154884624,84.73,125.37,138.301152509604,1392.84,NA,130.810000018169,124.98,152.88872592728402,214.203570059501,134.89,137.77,241.317989016759,166.18,96.390803256693808,2791.61347310877,109.69,187.332194361812
1981-04-01,1981-04-30 23:59:59.999,97.270810590088208,190.121584346536,86.13,126.27,140.291169093076,1487.83,NA,130.38000001811,137.27,153.298722510646,219.003650060834,136.25,137.89,240.497995850035,165.19,98.380819840165296,3510.1714971417,111.70,188.342152279531
1981-05-01,1981-05-31 23:59:59.999,98.840823673530592,196.641638680322,87.23,122.04,143.211193426612,1471.82,NA,129.040000017923,136.07,155.498704177466,226.743779062984,138.47,131.86,237.858017849852,166.61000000000002,99.420828506904208,3423.7029382843496,115.37,189.592100197499
1981-06-01,1981-06-30 23:59:59.999,100.500837506979,203.431695264127,89.23,120.66,147.12122601021698,1682.62,NA,132.05000001834198,135.34,157.408688260932,233.043884064734,139.09,138.53,237.278022683145,165.19,101.170843090359,593.24011266478704,118.41,190.922044782218
1981-07-01,1981-07-31 23:59:59.999,102.690855757131,205.281710680922,89.81,121.14,149.331244427037,1762.21,NA,130.400000018112,135.78,159.21867317772402,240.114001900032,141.71,138.81,241.407988266765,161.35,105.090875757298,563.37061048982296,121.13,188.122161445968
1981-08-01,1981-08-31 23:59:59.999,103.860865507213,214.631788598238,89.65,122.69,151.57126309385898,1970.72,NA,129.670000018012,136.58,159.95866701110898,245.864097734962,143.27,138.76,240.167998600012,160.19999999999998,104.150867923899,560.47065882235096,123.32,280.518311542218
1981-09-01,1981-09-30 23:59:59.999,103.460862173851,209.801748347903,86.96,123.59,146.93122442686998,1975.20,NA,131.150000018216,134.81,158.638678011017,239.353989233154,140.76,137.57,240.607994933376,158.19,103.450862090517,574.80041999299792,120.79,184.82229894253
1981-10-01,1981-10-31 23:59:59.999,103.300860840507,209.541746181218,85.02,126.91,145.75121459345498,2023.07,NA,131.230000018227,145.09,161.06865776118598,237.873964566076,139.32,137.00,237.778018516513,154.85,105.350877923983,591.85013583106696,119.22,185.67226352675
1981-11-01,1981-11-30 23:59:59.999,102.500854173785,207.051725431045,83.29,126.09,143.151192926608,2100.76,NA,130.51000001812698,141.89,160.728660594496,235.183919731996,136.55,136.31,231.118074016051,151.94,105.22087684064,608.41985966900304,117.06,179.92250310409302
1981-12-01,1981-12-31 23:59:59.999,101.590846590388,204.971708097567,83.21,124.24,143.911199259994,2099.25,NA,130.870000018177,136.69,160.828659761169,234.653910898515,135.80,142.09,232.248064599462,151.96,105.590879923999,557.41070982150096,117.20,261.35910985559296
1982-01-01,1982-01-31 23:59:59.999,101.320844340369,214.101784181535,85.81,123.40,143.861198843324,2034.47,NA,132.460000018399,143.48,161.81865151123798,230.483841397357,136.47,134.80,232.278064349465,154.9,107.300894174118,518.49135847735704,119.00,260.569142771438
1982-02-01,1982-02-28 23:59:59.999,101.180843173693,160.41133676114,88.98,123.81,147.07122559354702,1813.93,NA,130.580000018138,123.21,162.368646927943,224.633743895732,139.97,134.86,232.44806293281,157.35,106.950891257427,537.34104431592592,122.66,266.028915277124
