dateid01,dateid,cpi,gdp,infl,lgdp,lgdp_gap,mpr,rer,rer_gap
1993-01-01,1993-03-31 23:59:59.999,85.1,729128,NA,13.499604578568304,-0.0020616173605514376,5.98,97.41,4.1049618295873384
1993-04-01,1993-06-30 23:59:59.999,85.4,739668,NA,13.513956715858786,0.00018825318147186464,4.54,95.27,2.521101056962422
1993-07-01,1993-09-30 23:59:59.999,85.7,744268,NA,13.520156464007126,-0.0057129769077981504,4.23,93.41,1.2146746831940618
1993-10-01,1993-12-31 23:59:59.999,86.1,753308,NA,13.53222945369633,-0.0057385060927455104,4.27,92.41,0.76154141897814048
1994-01-01,1994-03-31 23:59:59.999,85.5,766924,0.47003525264395216,13.550142988086594,8.371025000464272e-05,3.84,91.54,0.42680080333356328
1994-04-01,1994-06-30 23:59:59.999,85.3,777788,-0.11709601873537422,13.564209272454144,0.0020742054261742028,5.66,87.75,-2.8449235881076332
1994-07-01,1994-09-30 23:59:59.999,85.8,795948,0.1166861143523823,13.587289136059476,0.01310208440683347,5.32,86.96,-3.1392749302154784
1994-10-01,1994-12-31 23:59:59.999,86.1,805676,0,13.599436955559428,0.013228703181013656,5.19,87.06,-2.5701183206173964
1995-01-01,1995-03-31 23:59:59.999,86.9,818704,1.637426900584793,13.615477881147158,0.01727800247132194,7.50,84.83,-4.3593568101093896
1995-04-01,1995-06-30 23:59:59.999,87.6,823456,2.696365767878084,13.621265396692714,0.011093988737767902,7.73,84.81,-3.967287125537084
1995-07-01,1995-09-30 23:59:59.999,87.8,827748,2.3310023310023408,13.626464039218112,0.0043209228407814496,6.47,87.24,-1.1514813957398076
1995-10-01,1995-12-31 23:59:59.999,87.9,834948,2.0905923344947784,13.635124726444694,0.00098251259714210448,6.03,88.37,0.34296780489653144
1996-01-01,1996-03-31 23:59:59.999,88.2,838724,1.4959723820483272,13.639636968277878,-0.0065616425690642192,5.35,88.05,0.3716875778583244
