dateid01,dateid,cmp,cmp1,cpi,ff,m1,xr,y
1958-01-01,1958-01-31 23:59:59.999,36.43,99.75,14.66,2.72,NA,1.00,21.56
1958-02-01,1958-02-28 23:59:59.999,36.28,100.80,14.67,1.67,NA,1.00,21.11
1958-03-01,1958-03-31 23:59:59.999,36.34,100.58,14.77,1.20,NA,1.00,20.85
1958-04-01,1958-04-30 23:59:59.999,36.52,99.26,14.80,1.26,NA,1.00,20.51
1958-05-01,1958-05-31 23:59:59.999,36.39,100.53,14.80,0.63,NA,1.00,20.71
1958-06-01,1958-06-30 23:59:59.999,35.67,100.78,14.82,0.93,NA,1.00,21.25
1958-07-01,1958-07-31 23:59:59.999,35.62,101.82,14.85,0.68,NA,1.00,21.56
1958-08-01,1958-08-31 23:59:59.999,35.77,102.18,14.82,1.53,NA,1.00,22.00
1958-09-01,1958-09-30 23:59:59.999,35.97,101.12,14.82,1.76,NA,1.00,22.20
1958-10-01,1958-10-31 23:59:59.999,36.07,101.85,14.82,1.80,NA,1.00,22.46
1958-11-01,1958-11-30 23:59:59.999,36.41,103.25,14.85,2.27,NA,1.00,23.12
1958-12-01,1958-12-31 23:59:59.999,35.83,101.62,14.82,2.42,NA,1.00,23.15
1959-01-01,1959-01-31 23:59:59.999,35.35,100.23,14.83,2.48,138.9,1.00,23.49
1959-02-01,1959-02-28 23:59:59.999,35.49,99.33,14.82,2.43,139.4,1.00,23.96
1959-03-01,1959-03-31 23:59:59.999,36.00,101.14,14.82,2.80,139.7,1.00,24.30
1959-04-01,1959-04-30 23:59:59.999,36.37,102.58,14.85,2.96,139.7,1.00,24.81
1959-05-01,1959-05-31 23:59:59.999,36.30,103.63,14.86,2.90,140.7,1.00,25.19
1959-06-01,1959-06-30 23:59:59.999,35.72,103.36,14.92,3.39,141.2,1.00,25.22
1959-07-01,1959-07-31 23:59:59.999,35.41,101.83,14.97,3.47,141.7,1.00,24.61
1959-08-01,1959-08-31 23:59:59.999,36.21,101.90,14.95,3.50,141.9,1.00,23.78
1959-09-01,1959-09-30 23:59:59.999,36.36,101.78,14.99,3.76,141.0,1.00,23.75
1959-10-01,1959-10-31 23:59:59.999,36.09,101.15,15.04,3.98,140.5,1.00,23.58
1959-11-01,1959-11-30 23:59:59.999,35.84,100.73,15.05,4.00,140.4,1.00,23.72
1959-12-01,1959-12-31 23:59:59.999,36.00,98.64,15.04,3.99,140.0,1.00,25.19
1960-01-01,1960-01-31 23:59:59.999,36.24,99.50,15.02,3.99,140.0,1.00,25.85
1960-02-01,1960-02-29 23:59:59.999,36.12,99.08,15.05,3.97,139.9,1.00,25.62
1960-03-01,1960-03-31 23:59:59.999,36.24,98.92,15.05,3.84,139.8,1.00,25.39
1960-04-01,1960-04-30 23:59:59.999,36.59,100.95,15.13,3.92,139.6,1.00,25.19
1960-05-01,1960-05-31 23:59:59.999,36.14,101.22,15.13,3.85,139.6,1.00,25.16
1960-06-01,1960-06-30 23:59:59.999,35.59,100.53,15.16,3.32,139.6,1.00,24.85
1960-07-01,1960-07-31 23:59:59.999,35.48,100.75,15.17,3.23,140.2,1.00,24.75
1960-08-01,1960-08-31 23:59:59.999,35.48,100.42,15.17,2.98,141.3,1.00,24.73
1960-09-01,1960-09-30 23:59:59.999,35.80,98.90,15.19,2.60,141.2,1.00,24.47
1960-10-01,1960-10-31 23:59:59.999,35.20,98.35,15.24,2.47,140.9,1.00,24.44
1960-11-01,1960-11-30 23:59:59.999,34.69,97.56,15.26,2.44,140.9,1.00,24.10
1960-12-01,1960-12-31 23:59:59.999,34.59,96.30,15.27,1.98,140.7,1.00,23.64
1961-01-01,1961-01-31 23:59:59.999,34.97,97.58,15.26,1.45,141.1,1.00,23.66
1961-02-01,1961-02-28 23:59:59.999,35.03,99.70,15.27,2.54,141.6,1.00,23.64
