dateid01,dateid,i,m,p,rgdp
1997-07-01,1997-09-30 23:59:59.999,NA,116345,79.4,57.437
1997-10-01,1997-12-31 23:59:59.999,NA,113770,80.0,58.223
1998-01-01,1998-03-31 23:59:59.999,NA,110340,80.1,58.467
1998-04-01,1998-06-30 23:59:59.999,NA,111698,80.2,59.268
1998-07-01,1998-09-30 23:59:59.999,NA,112180,80.2,59.444
1998-10-01,1998-12-31 23:59:59.999,NA,118529,80.5,59.434
1999-01-01,1999-03-31 23:59:59.999,3.00,121050,80.5,60.311
1999-04-01,1999-06-30 23:59:59.999,2.50,121820,80.5,60.743
1999-07-01,1999-09-30 23:59:59.999,2.50,123514,80.6,61.534
1999-10-01,1999-12-31 23:59:59.999,3.00,124129,81.3,62.230
2000-01-01,2000-03-31 23:59:59.999,3.50,124845,81.7,62.606
2000-04-01,2000-06-30 23:59:59.999,4.25,127505,82.2,63.175
2000-07-01,2000-09-30 23:59:59.999,4.50,128959,82.9,63.648
2000-10-01,2000-12-31 23:59:59.999,4.75,126464,83.6,64.493
2001-01-01,2001-03-31 23:59:59.999,4.75,129573,84.0,64.299
2001-04-01,2001-06-30 23:59:59.999,4.50,130596,84.7,64.176
2001-07-01,2001-09-30 23:59:59.999,3.75,133400,85.1,64.062
2001-10-01,2001-12-31 23:59:59.999,3.25,139621,85.3,64.581
2002-01-01,2002-03-31 23:59:59.999,3.25,139593,85.6,65.061
2002-04-01,2002-06-30 23:59:59.999,3.25,138374,86.3,65.460
2002-07-01,2002-09-30 23:59:59.999,3.25,141826,86.6,65.566
2002-10-01,2002-12-31 23:59:59.999,2.75,141641,86.9,65.133
2003-01-01,2003-03-31 23:59:59.999,2.50,144578,87.2,65.615
2003-04-01,2003-06-30 23:59:59.999,2.00,146941,87.2,65.684
2003-07-01,2003-09-30 23:59:59.999,2.00,148127,87.6,65.842
2003-10-01,2003-12-31 23:59:59.999,2.00,151555,87.9,66.010
2004-01-01,2004-03-31 23:59:59.999,2.00,152363,88.4,67.294
2004-04-01,2004-06-30 23:59:59.999,2.00,154134,88.9,67.576
2004-07-01,2004-09-30 23:59:59.999,2.00,155806,89.5,67.878
2004-10-01,2004-12-31 23:59:59.999,2.00,158620,90.4,67.135
2005-01-01,2005-03-31 23:59:59.999,2.00,162747,91.0,68.393
2005-04-01,2005-06-30 23:59:59.999,2.00,171577,91.1,68.735
2005-07-01,2005-09-30 23:59:59.999,2.00,174087,91.6,69.002
2005-10-01,2005-12-31 23:59:59.999,2.25,177638,91.9,69.661
2006-01-01,2006-03-31 23:59:59.999,2.50,181121,92.1,70.252
2006-04-01,2006-06-30 23:59:59.999,2.75,187853,92.6,71.156
2006-07-01,2006-09-30 23:59:59.999,3.00,190583,93.0,71.618
2006-10-01,2006-12-31 23:59:59.999,3.50,192974,93.1,72.742
2007-01-01,2007-03-31 23:59:59.999,3.75,199151,93.6,73.179
2007-04-01,2007-06-30 23:59:59.999,4.00,207317,94.3,74.222
2007-07-01,2007-09-30 23:59:59.999,4.00,216357,94.7,73.979
2007-10-01,2007-12-31 23:59:59.999,4.00,228320,96.1,74.504
2008-01-01,2008-03-31 23:59:59.999,4.00,236668,96.8,75.900
2008-04-01,2008-06-30 23:59:59.999,4.00,240591,97.7,75.489
2008-07-01,2008-09-30 23:59:59.999,4.25,245071,98.3,74.938
2008-10-01,2008-12-31 23:59:59.999,2.50,250322,98.1,73.345
2009-01-01,2009-03-31 23:59:59.999,1.50,251820,97.9,72.237
2009-04-01,2009-06-30 23:59:59.999,1.00,248294,97.9,71.539
2009-07-01,2009-09-30 23:59:59.999,1.00,245672,98.4,71.961
2009-10-01,2009-12-31 23:59:59.999,1.00,243165,98.7,72.995
2010-01-01,2010-03-31 23:59:59.999,1.00,241617,99.2,71.842
2010-04-01,2010-06-30 23:59:59.999,1.00,244135,99.8,73.373
2010-07-01,2010-09-30 23:59:59.999,1.00,246972,100.1,74.075
2010-10-01,2010-12-31 23:59:59.999,1.00,241386,100.8,74.579
2011-01-01,2011-03-31 23:59:59.999,1.00,243067,102.1,75.882
2011-04-01,2011-06-30 23:59:59.999,1.25,246003,103.1,75.859
2011-07-01,2011-09-30 23:59:59.999,1.50,250586,103.7,75.939
2011-10-01,2011-12-31 23:59:59.999,1.00,253268,104.2,75.515
2012-01-01,2012-03-31 23:59:59.999,1.00,259922,104.7,76.670
2012-04-01,2012-06-30 23:59:59.999,1.00,263411,105.4,76.414
2012-07-01,2012-09-30 23:59:59.999,0.75,261564,106.2,76.583
2012-10-01,2012-12-31 23:59:59.999,0.75,261781,107.1,76.568
2013-01-01,2013-03-31 23:59:59.999,0.75,263986,107.3,76.322
2013-04-01,2013-06-30 23:59:59.999,0.50,265137,107.7,76.560
2013-07-01,2013-09-30 23:59:59.999,0.50,264872,108.1,76.712
2013-10-01,2013-12-31 23:59:59.999,0.25,267962,108.7,76.988
2014-01-01,2014-03-31 23:59:59.999,0.25,265960,109.1,76.948
2014-04-01,2014-06-30 23:59:59.999,0.15,268604,109.5,76.924
2014-07-01,2014-09-30 23:59:59.999,0.05,272932,109.9,76.965
2014-10-01,2014-12-31 23:59:59.999,0.05,279288,110.2,76.843
