dateid01,dateid,i,m,p,rgdp
1997-07-01,1997-09-30 23:59:59.999,2.50,1125.9,83.5,551.24
1997-10-01,1997-12-31 23:59:59.999,2.50,1139.4,83.8,554.91
1998-01-01,1998-03-31 23:59:59.999,2.50,1150.9,83.6,559.73
1998-04-01,1998-06-30 23:59:59.999,2.50,1166.2,84.0,557.67
1998-07-01,1998-09-30 23:59:59.999,2.50,1184.8,84.2,559.28
1998-10-01,1998-12-31 23:59:59.999,2.50,1226.0,84.3,558.89
1999-01-01,1999-03-31 23:59:59.999,2.50,1253.8,83.8,563.84
1999-04-01,1999-06-30 23:59:59.999,1.95,1279.6,84.4,564.74
1999-07-01,1999-09-30 23:59:59.999,1.95,1287.0,84.6,570.78
1999-10-01,1999-12-31 23:59:59.999,1.95,1288.6,84.9,577.72
2000-01-01,2000-03-31 23:59:59.999,2.68,1300.2,85.2,583.50
2000-04-01,2000-06-30 23:59:59.999,3.42,1288.2,85.4,589.35
2000-07-01,2000-09-30 23:59:59.999,4.26,1278.3,85.7,588.45
2000-10-01,2000-12-31 23:59:59.999,4.26,1275.8,86.3,589.03
2001-01-01,2001-03-31 23:59:59.999,4.26,1304.8,86.6,598.61
2001-04-01,2001-06-30 23:59:59.999,4.26,1327.2,87.5,599.12
2001-07-01,2001-09-30 23:59:59.999,3.62,1346.6,87.7,597.32
2001-10-01,2001-12-31 23:59:59.999,3.62,1332.7,87.8,598.35
2002-01-01,2002-03-31 23:59:59.999,2.57,1270.4,88.3,596.48
2002-04-01,2002-06-30 23:59:59.999,2.57,1291.9,88.5,597.71
2002-07-01,2002-09-30 23:59:59.999,2.47,1299.9,88.7,600.47
2002-10-01,2002-12-31 23:59:59.999,2.47,1337.5,88.7,599.31
2003-01-01,2003-03-31 23:59:59.999,1.97,1353.4,89.4,591.92
2003-04-01,2003-06-30 23:59:59.999,1.97,1379.2,89.3,592.24
2003-07-01,2003-09-30 23:59:59.999,1.22,1375.9,89.5,595.20
2003-10-01,2003-12-31 23:59:59.999,1.22,1382.3,89.8,597.26
2004-01-01,2004-03-31 23:59:59.999,1.14,1396.2,90.4,597.19
2004-04-01,2004-06-30 23:59:59.999,1.14,1395.5,90.9,599.38
2004-07-01,2004-09-30 23:59:59.999,1.13,1407.9,91.3,598.35
2004-10-01,2004-12-31 23:59:59.999,1.13,1410.2,91.6,598.73
2005-01-01,2005-03-31 23:59:59.999,1.21,1427.6,91.8,597.64
2005-04-01,2005-06-30 23:59:59.999,1.21,1450.7,92.1,601.69
2005-07-01,2005-09-30 23:59:59.999,1.17,1467.1,92.7,606.57
2005-10-01,2005-12-31 23:59:59.999,1.17,1476.6,93.0,608.63
2006-01-01,2006-03-31 23:59:59.999,1.37,1498.5,93.3,614.61
2006-04-01,2006-06-30 23:59:59.999,1.37,1522.5,93.8,624.44
2006-07-01,2006-09-30 23:59:59.999,1.95,1524.6,94.0,630.54
2006-10-01,2006-12-31 23:59:59.999,1.95,1553.2,94.2,638.77
2007-01-01,2007-03-31 23:59:59.999,2.70,1576.5,95.1,641.66
2007-04-01,2007-06-30 23:59:59.999,2.70,1612.2,95.6,646.35
2007-07-01,2007-09-30 23:59:59.999,3.19,1661.6,96.1,651.69
2007-10-01,2007-12-31 23:59:59.999,3.19,1717.2,97.2,653.74
2008-01-01,2008-03-31 23:59:59.999,3.32,1759.2,97.8,658.95
2008-04-01,2008-06-30 23:59:59.999,3.32,1784.5,98.5,657.53
2008-07-01,2008-09-30 23:59:59.999,3.19,1820.1,99.1,654.90
2008-10-01,2008-12-31 23:59:59.999,3.19,1860.4,98.7,642.11
2009-01-01,2009-03-31 23:59:59.999,1.62,1888.1,98.6,613.32
2009-04-01,2009-06-30 23:59:59.999,1.62,1874.8,98.7,614.09
2009-07-01,2009-09-30 23:59:59.999,0.12,1859.9,98.9,617.43
2009-10-01,2009-12-31 23:59:59.999,0.12,1849.2,99.1,622.83
2010-01-01,2010-03-31 23:59:59.999,0.12,1866.9,99.5,627.65
2010-04-01,2010-06-30 23:59:59.999,0.12,1895.8,100.0,640.89
2010-07-01,2010-09-30 23:59:59.999,0.12,1910.5,100.0,645.77
2010-10-01,2010-12-31 23:59:59.999,0.12,1929.3,100.5,650.53
2011-01-01,2011-03-31 23:59:59.999,0.12,1962.3,101.3,662.48
2011-04-01,2011-06-30 23:59:59.999,0.12,1992.4,102.0,663.70
2011-07-01,2011-09-30 23:59:59.999,0.37,2038.0,102.3,666.27
2011-10-01,2011-12-31 23:59:59.999,0.37,2059.6,102.7,666.27
2012-01-01,2012-03-31 23:59:59.999,0.12,2101.8,103.5,668.33
2012-04-01,2012-06-30 23:59:59.999,0.12,2159.0,103.9,669.17
2012-07-01,2012-09-30 23:59:59.999,0.12,2197.7,104.3,669.74
2012-10-01,2012-12-31 23:59:59.999,0.12,2215.3,104.7,666.98
2013-01-01,2013-03-31 23:59:59.999,-0.13,2221.0,105.1,664.28
2013-04-01,2013-06-30 23:59:59.999,-0.13,2244.1,105.6,669.55
2013-07-01,2013-09-30 23:59:59.999,-0.38,2265.3,106.0,671.54
2013-10-01,2013-12-31 23:59:59.999,-0.38,2278.4,106.0,674.56
2014-01-01,2014-03-31 23:59:59.999,-0.63,2316.6,106.4,679.77
2014-04-01,2014-06-30 23:59:59.999,-0.63,2350.2,106.6,679.19
2014-07-01,2014-09-30 23:59:59.999,-0.73,2371.2,106.9,679.64
2014-10-01,2014-12-31 23:59:59.999,-0.73,2387.1,106.6,684.40
