dateid01,dateid,i,m,p,rgdp
1997-07-01,1997-09-30 23:59:59.999,3.3318,601744,99.47,399800
1997-10-01,1997-12-31 23:59:59.999,3.5426,615677,99.76,403854
1998-01-01,1998-03-31 23:59:59.999,3.5032,633963,99.85,406997
1998-04-01,1998-06-30 23:59:59.999,3.5327,648419,100.03,411334
1998-07-01,1998-09-30 23:59:59.999,3.4888,643719,100.06,414020
1998-10-01,1998-12-31 23:59:59.999,3.3289,640690,100.02,417327
1999-01-01,1999-03-31 23:59:59.999,2.9856,661651,100.12,419863
1999-04-01,1999-06-30 23:59:59.999,2.5557,663888,100.40,423230
1999-07-01,1999-09-30 23:59:59.999,2.5057,668328,100.58,428009
1999-10-01,1999-12-31 23:59:59.999,2.8751,675057,101.02,433183
2000-01-01,2000-03-31 23:59:59.999,3.3552,679879,101.66,438287
2000-04-01,2000-06-30 23:59:59.999,4.0694,693659,101.87,441982
2000-07-01,2000-09-30 23:59:59.999,4.5974,707751,102.47,444452
2000-10-01,2000-12-31 23:59:59.999,4.9401,716205,102.94,448527
2001-01-01,2001-03-31 23:59:59.999,4.7546,726357,102.97,451308
2001-04-01,2001-06-30 23:59:59.999,4.6198,744247,103.93,451706
2001-07-01,2001-09-30 23:59:59.999,4.2727,749718,104.29,452684
2001-10-01,2001-12-31 23:59:59.999,3.3845,766066,104.41,451845
2002-01-01,2002-03-31 23:59:59.999,3.3530,789315,105.15,454673
2002-04-01,2002-06-30 23:59:59.999,3.4454,799752,105.64,457351
2002-07-01,2002-09-30 23:59:59.999,3.3432,824170,106.13,458216
2002-10-01,2002-12-31 23:59:59.999,3.0390,827952,106.65,457811
2003-01-01,2003-03-31 23:59:59.999,2.6364,836342,107.68,458036
2003-04-01,2003-06-30 23:59:59.999,2.3072,838476,107.64,458011
2003-07-01,2003-09-30 23:59:59.999,2.0800,849023,108.19,461244
2003-10-01,2003-12-31 23:59:59.999,2.0796,864941,108.98,465141
2004-01-01,2004-03-31 23:59:59.999,2.0138,876151,109.64,467858
2004-04-01,2004-06-30 23:59:59.999,2.0247,888363,110.18,471539
2004-07-01,2004-09-30 23:59:59.999,2.0164,905545,110.65,473483
2004-10-01,2004-12-31 23:59:59.999,2.0447,923998,111.25,476906
2005-01-01,2005-03-31 23:59:59.999,2.0380,945113,111.51,477241
2005-04-01,2005-06-30 23:59:59.999,2.0195,966941,112.05,478188
2005-07-01,2005-09-30 23:59:59.999,2.0175,982580,112.73,480894
2005-10-01,2005-12-31 23:59:59.999,2.2092,1000526,113.09,484510
2006-01-01,2006-03-31 23:59:59.999,2.4551,1017702,113.59,487784
2006-04-01,2006-06-30 23:59:59.999,2.6798,1044941,114.14,492949
2006-07-01,2006-09-30 23:59:59.999,3.0352,1062509,114.62,492831
2006-10-01,2006-12-31 23:59:59.999,3.3864,1081303,114.62,496908
2007-01-01,2007-03-31 23:59:59.999,3.6690,1127021,114.93,500515
2007-04-01,2007-06-30 23:59:59.999,3.9173,1161289,115.46,503565
2007-07-01,2007-09-30 23:59:59.999,3.9904,1188180,116.06,505415
2007-10-01,2007-12-31 23:59:59.999,3.8795,1228436,117.33,506589
2008-01-01,2008-03-31 23:59:59.999,3.8836,1265524,118.29,509077
2008-04-01,2008-06-30 23:59:59.999,4.0263,1277628,119.27,506447
2008-07-01,2008-09-30 23:59:59.999,4.2362,1303946,119.85,505209
2008-10-01,2008-12-31 23:59:59.999,2.3295,1327925,119.42,497166
2009-01-01,2009-03-31 23:59:59.999,1.0640,1302326,119.04,489105
2009-04-01,2009-06-30 23:59:59.999,0.7338,1301315,118.98,488688
2009-07-01,2009-09-30 23:59:59.999,0.3990,1315609,119.37,489451
2009-10-01,2009-12-31 23:59:59.999,0.3921,1324813,119.86,492859
2010-01-01,2010-03-31 23:59:59.999,0.3113,1342733,120.55,494760
2010-04-01,2010-06-30 23:59:59.999,0.2454,1374798,120.93,497963
2010-07-01,2010-09-30 23:59:59.999,0.3755,1401417,121.24,500767
2010-10-01,2010-12-31 23:59:59.999,0.5729,1427075,121.84,503671
2011-01-01,2011-03-31 23:59:59.999,0.6400,1445612,122.71,509055
2011-04-01,2011-06-30 23:59:59.999,0.9987,1462549,123.44,508665
2011-07-01,2011-09-30 23:59:59.999,0.7608,1484558,123.85,509833
2011-10-01,2011-12-31 23:59:59.999,0.3739,1485486,124.81,511136
2012-01-01,2012-03-31 23:59:59.999,0.1162,1528491,125.52,512209
2012-04-01,2012-06-30 23:59:59.999,0.0713,1531333,125.94,510907
2012-07-01,2012-09-30 23:59:59.999,-0.0063,1542557,126.28,512073
2012-10-01,2012-12-31 23:59:59.999,0.0161,1572233,126.72,511056
2013-01-01,2013-03-31 23:59:59.999,0.0175,1593691,126.83,510933
2013-04-01,2013-06-30 23:59:59.999,0.0173,1615445,127.01,514307
2013-07-01,2013-09-30 23:59:59.999,0.0527,1626834,127.45,513757
2013-10-01,2013-12-31 23:59:59.999,0.0836,1617749,127.53,515134
2014-01-01,2014-03-31 23:59:59.999,0.1460,1628826,127.79,515010
2014-04-01,2014-06-30 23:59:59.999,0.1251,1644542,127.79,514393
2014-07-01,2014-09-30 23:59:59.999,-0.0106,1657168,127.93,515863
2014-10-01,2014-12-31 23:59:59.999,-0.0314,1676306,127.89,516289
