dateid01,dateid,i,m,p,rgdp
1997-07-01,1997-09-30 23:59:59.999,NA,NA,NA,NA
1997-10-01,1997-12-31 23:59:59.999,NA,NA,NA,NA
1998-01-01,1998-03-31 23:59:59.999,4.35,853782,257.52,663830
1998-04-01,1998-06-30 23:59:59.999,4.10,873226,257.14,674616
1998-07-01,1998-09-30 23:59:59.999,4.10,878843,256.68,678045
1998-10-01,1998-12-31 23:59:59.999,3.40,883988,256.50,685834
1999-01-01,1999-03-31 23:59:59.999,2.90,888206,257.35,695948
1999-04-01,1999-06-30 23:59:59.999,2.90,899694,257.56,698329
1999-07-01,1999-09-30 23:59:59.999,2.90,919794,258.40,705247
1999-10-01,1999-12-31 23:59:59.999,3.25,960980,259.23,718318
2000-01-01,2000-03-31 23:59:59.999,3.75,980275,259.44,723308
2000-04-01,2000-06-30 23:59:59.999,3.75,981380,260.03,739187
2000-07-01,2000-09-30 23:59:59.999,3.75,988604,260.99,745478
2000-10-01,2000-12-31 23:59:59.999,4.00,987592,262.44,747511
2001-01-01,2001-03-31 23:59:59.999,4.00,1012069,263.67,745543
2001-04-01,2001-06-30 23:59:59.999,4.00,1055194,267.12,748975
2001-07-01,2001-09-30 23:59:59.999,3.75,1054962,268.45,753513
2001-10-01,2001-12-31 23:59:59.999,3.75,1052965,269.11,758004
2002-01-01,2002-03-31 23:59:59.999,4.00,1049761,270.66,757700
2002-04-01,2002-06-30 23:59:59.999,4.25,1054224,272.39,768200
2002-07-01,2002-09-30 23:59:59.999,4.25,1071480,273.42,769658
2002-10-01,2002-12-31 23:59:59.999,3.75,1085970,274.86,773072
2003-01-01,2003-03-31 23:59:59.999,3.50,1086287,278.74,782505
2003-04-01,2003-06-30 23:59:59.999,3.00,1115057,277.54,779167
2003-07-01,2003-09-30 23:59:59.999,2.75,1113155,277.76,789780
2003-10-01,2003-12-31 23:59:59.999,2.75,1136638,278.32,794493
2004-01-01,2004-03-31 23:59:59.999,2.50,1161116,278.93,807114
2004-04-01,2004-06-30 23:59:59.999,2.00,1139751,278.75,812768
2004-07-01,2004-09-30 23:59:59.999,2.00,1156858,279.29,819730
2004-10-01,2004-12-31 23:59:59.999,2.00,1160768,279.53,826179
2005-01-01,2005-03-31 23:59:59.999,2.00,1199603,279.76,827827
2005-04-01,2005-06-30 23:59:59.999,1.50,1261941,279.66,836340
2005-07-01,2005-09-30 23:59:59.999,1.50,1248218,280.66,844066
2005-10-01,2005-12-31 23:59:59.999,1.50,1286573,281.44,849271
2006-01-01,2006-03-31 23:59:59.999,2.00,1311060,282.06,866976
2006-04-01,2006-06-30 23:59:59.999,2.25,1352152,283.98,876528
2006-07-01,2006-09-30 23:59:59.999,2.50,1413144,285.07,887607
2006-10-01,2006-12-31 23:59:59.999,3.00,1451513,285.68,892133
2007-01-01,2007-03-31 23:59:59.999,3.25,1495448,287.66,901693
2007-04-01,2007-06-30 23:59:59.999,3.50,1558049,289.15,907500
2007-07-01,2007-09-30 23:59:59.999,3.75,1583659,290.56,913595
2007-10-01,2007-12-31 23:59:59.999,4.00,1614002,294.62,924541
2008-01-01,2008-03-31 23:59:59.999,4.25,1638904,296.93,915491
2008-04-01,2008-06-30 23:59:59.999,4.25,1675125,300.44,915984
2008-07-01,2008-09-30 23:59:59.999,4.75,1731548,303.25,912428
2008-10-01,2008-12-31 23:59:59.999,2.00,1824381,301.82,877154
2009-01-01,2009-03-31 23:59:59.999,1.00,1819760,299.27,859410
2009-04-01,2009-06-30 23:59:59.999,0.50,1840694,299.05,858625
2009-07-01,2009-09-30 23:59:59.999,0.25,1846058,299.76,857684
2009-10-01,2009-12-31 23:59:59.999,0.25,1871772,300.61,861237
2010-01-01,2010-03-31 23:59:59.999,0.25,1890820,302.20,885117
2010-04-01,2010-06-30 23:59:59.999,0.25,1921454,302.19,903598
2010-07-01,2010-09-30 23:59:59.999,0.75,1943646,303.18,914216
2010-10-01,2010-12-31 23:59:59.999,1.25,1963962,306.33,929852
2011-01-01,2011-03-31 23:59:59.999,1.50,1980643,308.98,930989
2011-04-01,2011-06-30 23:59:59.999,1.75,2010389,311.03,933344
2011-07-01,2011-09-30 23:59:59.999,2.00,2070654,312.20,942042
2011-10-01,2011-12-31 23:59:59.999,1.75,2085179,313.54,925470
2012-01-01,2012-03-31 23:59:59.999,1.50,2156804,314.38,930175
2012-04-01,2012-06-30 23:59:59.999,1.50,2165874,314.51,936318
2012-07-01,2012-09-30 23:59:59.999,1.25,2224955,314.10,935637
2012-10-01,2012-12-31 23:59:59.999,1.00,2210866,313.80,931057
2013-01-01,2013-03-31 23:59:59.999,1.00,2258552,314.21,941492
2013-04-01,2013-06-30 23:59:59.999,1.00,2265190,313.66,939520
2013-07-01,2013-09-30 23:59:59.999,1.00,2298739,314.30,945521
2013-10-01,2013-12-31 23:59:59.999,0.75,2339546,314.04,953853
2014-01-01,2014-03-31 23:59:59.999,0.75,2352231,313.17,956688
2014-04-01,2014-06-30 23:59:59.999,0.75,2418661,313.69,962514
2014-07-01,2014-09-30 23:59:59.999,0.25,2437352,313.69,967716
2014-10-01,2014-12-31 23:59:59.999,0.00,2471739,313.40,978759
